date,value,realtime_start,realtime_end
1998-04-01,210.100,2018-12-12,2018-12-12
1998-05-01,205.000,2018-12-12,2018-12-12
1998-06-01,200.900,2018-12-12,2018-12-12
1998-07-01,207.300,2018-12-12,2018-12-12
1998-08-01,207.800,2018-12-12,2018-12-12
1998-09-01,206.000,2018-12-12,2018-12-12
1998-10-01,205.200,2018-12-12,2018-12-12
1998-11-01,200.800,2018-12-12,2018-12-12
1998-12-01,202.800,2018-12-12,2018-12-12
1999-01-01,206.400,2018-12-12,2018-12-12
1999-02-01,211.400,2018-12-12,2018-12-12
1999-03-01,221.300,2018-12-12,2018-12-12
1999-04-01,225.800,2018-12-12,2018-12-12
1999-05-01,220.200,2018-12-12,2018-12-12
1999-06-01,209.700,2018-12-12,2018-12-12
1999-07-01,223.300,2018-12-12,2018-12-12
1999-08-01,217.200,2018-12-12,2018-12-12
1999-09-01,213.600,2018-12-12,2018-12-12
1999-10-01,224.900,2018-12-12,2018-12-12
1999-11-01,226.400,2018-12-12,2018-12-12
1999-12-01,224.900,2018-12-12,2018-12-12
2000-01-01,221.800,2018-12-12,2018-12-12
2000-02-01,230.200,2018-12-12,2018-12-12
2000-03-01,240.700,2018-12-12,2018-12-12
2000-04-01,239.500,2018-12-12,2018-12-12
2000-05-01,241.300,2018-12-12,2018-12-12
2000-06-01,245.000,2018-12-12,2018-12-12
2000-07-01,246.800,2018-12-12,2018-12-12
2000-08-01,250.400,2018-12-12,2018-12-12
2000-09-01,244.900,2018-12-12,2018-12-12
2000-10-01,236.300,2018-12-12,2018-12-12
2000-11-01,238.000,2018-12-12,2018-12-12
2000-12-01,238.200,2018-12-12,2018-12-12
2001-01-01,239.000,2018-12-12,2018-12-12
2001-02-01,242.000,2018-12-12,2018-12-12
2001-03-01,238.600,2018-12-12,2018-12-12
2001-04-01,235.500,2018-12-12,2018-12-12
2001-05-01,237.500,2018-12-12,2018-12-12
2001-06-01,249.300,2018-12-12,2018-12-12
2001-07-01,248.800,2018-12-12,2018-12-12
2001-08-01,244.300,2018-12-12,2018-12-12
2001-09-01,242.500,2018-12-12,2018-12-12
2001-10-01,236.400,2018-12-12,2018-12-12
2001-11-01,230.000,2018-12-12,2018-12-12
2001-12-01,229.000,2018-12-12,2018-12-12
2002-01-01,236.700,2018-12-12,2018-12-12
2002-02-01,235.300,2018-12-12,2018-12-12
2002-03-01,233.300,2018-12-12,2018-12-12
2002-04-01,234.500,2018-12-12,2018-12-12
2002-05-01,237.700,2018-12-12,2018-12-12
2002-06-01,231.300,2018-12-12,2018-12-12
2002-07-01,227.500,2018-12-12,2018-12-12
2002-08-01,230.200,2018-12-12,2018-12-12
2002-09-01,228.700,2018-12-12,2018-12-12
2002-10-01,225.700,2018-12-12,2018-12-12
2002-11-01,227.800,2018-12-12,2018-12-12
2002-12-01,230.000,2018-12-12,2018-12-12
2003-01-01,228.700,2018-12-12,2018-12-12
2003-02-01,228.500,2018-12-12,2018-12-12
2003-03-01,230.700,2018-12-12,2018-12-12
2003-04-01,229.400,2018-12-12,2018-12-12
2003-05-01,230.000,2018-12-12,2018-12-12
2003-06-01,231.300,2018-12-12,2018-12-12
2003-07-01,232.600,2018-12-12,2018-12-12
2003-08-01,233.400,2018-12-12,2018-12-12
2003-09-01,233.200,2018-12-12,2018-12-12
2003-10-01,234.300,2018-12-12,2018-12-12
2003-11-01,232.500,2018-12-12,2018-12-12
2003-12-01,230.400,2018-12-12,2018-12-12
2004-01-01,232.500,2018-12-12,2018-12-12
2004-02-01,232.400,2018-12-12,2018-12-12
2004-03-01,231.700,2018-12-12,2018-12-12
2004-04-01,230.800,2018-12-12,2018-12-12
2004-05-01,227.200,2018-12-12,2018-12-12
2004-06-01,224.900,2018-12-12,2018-12-12
2004-07-01,223.500,2018-12-12,2018-12-12
2004-08-01,220.400,2018-12-12,2018-12-12
2004-09-01,220.700,2018-12-12,2018-12-12
2004-10-01,223.800,2018-12-12,2018-12-12
2004-11-01,230.900,2018-12-12,2018-12-12
2004-12-01,227.900,2018-12-12,2018-12-12
2005-01-01,224.900,2018-12-12,2018-12-12
2005-02-01,225.000,2018-12-12,2018-12-12
2005-03-01,228.600,2018-12-12,2018-12-12
2005-04-01,233.900,2018-12-12,2018-12-12
2005-05-01,236.900,2018-12-12,2018-12-12
2005-06-01,237.900,2018-12-12,2018-12-12
2005-07-01,239.700,2018-12-12,2018-12-12
2005-08-01,240.000,2018-12-12,2018-12-12
2005-09-01,240.900,2018-12-12,2018-12-12
2005-10-01,243.900,2018-12-12,2018-12-12
2005-11-01,244.500,2018-12-12,2018-12-12
2005-12-01,242.000,2018-12-12,2018-12-12
2006-01-01,244.600,2018-12-12,2018-12-12
2006-02-01,244.400,2018-12-12,2018-12-12
2006-03-01,244.700,2018-12-12,2018-12-12
2006-04-01,245.700,2018-12-12,2018-12-12
2006-05-01,250.100,2018-12-12,2018-12-12
2006-06-01,251.500,2018-12-12,2018-12-12
2006-07-01,252.900,2018-12-12,2018-12-12
2006-08-01,253.200,2018-12-12,2018-12-12
2006-09-01,252.000,2018-12-12,2018-12-12
2006-10-01,248.100,2018-12-12,2018-12-12
2006-11-01,239.100,2018-12-12,2018-12-12
2006-12-01,239.400,2018-12-12,2018-12-12
2007-01-01,245.422,2018-12-12,2018-12-12
2007-02-01,248.365,2018-12-12,2018-12-12
2007-03-01,249.249,2018-12-12,2018-12-12
2007-04-01,248.959,2018-12-12,2018-12-12
2007-05-01,248.001,2018-12-12,2018-12-12
2007-06-01,248.319,2018-12-12,2018-12-12
2007-07-01,249.275,2018-12-12,2018-12-12
2007-08-01,249.240,2018-12-12,2018-12-12
2007-09-01,251.882,2018-12-12,2018-12-12
2007-10-01,257.047,2018-12-12,2018-12-12
2007-11-01,261.014,2018-12-12,2018-12-12
2007-12-01,264.299,2018-12-12,2018-12-12
2008-01-01,266.547,2018-12-12,2018-12-12
2008-02-01,266.220,2018-12-12,2018-12-12
2008-03-01,274.246,2018-12-12,2018-12-12
2008-04-01,274.173,2018-12-12,2018-12-12
2008-05-01,283.328,2018-12-12,2018-12-12
2008-06-01,294.645,2018-12-12,2018-12-12
2008-07-01,300.857,2018-12-12,2018-12-12
2008-08-01,302.057,2018-12-12,2018-12-12
2008-09-01,295.708,2018-12-12,2018-12-12
2008-10-01,284.760,2018-12-12,2018-12-12
2008-11-01,272.217,2018-12-12,2018-12-12
2008-12-01,266.716,2018-12-12,2018-12-12
2009-01-01,263.284,2018-12-12,2018-12-12
2009-02-01,256.319,2018-12-12,2018-12-12
2009-03-01,252.471,2018-12-12,2018-12-12
2009-04-01,248.828,2018-12-12,2018-12-12
2009-05-01,246.273,2018-12-12,2018-12-12
2009-06-01,244.658,2018-12-12,2018-12-12
2009-07-01,252.107,2018-12-12,2018-12-12
2009-08-01,254.411,2018-12-12,2018-12-12
2009-09-01,260.944,2018-12-12,2018-12-12
2009-10-01,267.042,2018-12-12,2018-12-12
2009-11-01,273.984,2018-12-12,2018-12-12
2009-12-01,277.350,2018-12-12,2018-12-12
2010-01-01,273.454,2018-12-12,2018-12-12
2010-02-01,270.971,2018-12-12,2018-12-12
2010-03-01,271.311,2018-12-12,2018-12-12
2010-04-01,273.533,2018-12-12,2018-12-12
2010-05-01,275.820,2018-12-12,2018-12-12
2010-06-01,277.651,2018-12-12,2018-12-12
2010-07-01,279.192,2018-12-12,2018-12-12
2010-08-01,279.262,2018-12-12,2018-12-12
2010-09-01,278.873,2018-12-12,2018-12-12
2010-10-01,279.580,2018-12-12,2018-12-12
2010-11-01,286.247,2018-12-12,2018-12-12
2010-12-01,293.446,2018-12-12,2018-12-12
2011-01-01,301.088,2018-12-12,2018-12-12
2011-02-01,304.572,2018-12-12,2018-12-12
2011-03-01,306.515,2018-12-12,2018-12-12
2011-04-01,302.541,2018-12-12,2018-12-12
2011-05-01,292.694,2018-12-12,2018-12-12
2011-06-01,294.743,2018-12-12,2018-12-12
2011-07-01,304.773,2018-12-12,2018-12-12
2011-08-01,316.044,2018-12-12,2018-12-12
2011-09-01,314.655,2018-12-12,2018-12-12
2011-10-01,306.827,2018-12-12,2018-12-12
2011-11-01,297.966,2018-12-12,2018-12-12
2011-12-01,307.069,2018-12-12,2018-12-12
2012-01-01,308.335,2018-12-12,2018-12-12
2012-02-01,306.081,2018-12-12,2018-12-12
2012-03-01,308.237,2018-12-12,2018-12-12
2012-04-01,304.810,2018-12-12,2018-12-12
2012-05-01,294.883,2018-12-12,2018-12-12
2012-06-01,287.712,2018-12-12,2018-12-12
2012-07-01,302.202,2018-12-12,2018-12-12
2012-08-01,312.195,2018-12-12,2018-12-12
2012-09-01,312.078,2018-12-12,2018-12-12
2012-10-01,308.022,2018-12-12,2018-12-12
2012-11-01,301.966,2018-12-12,2018-12-12
2012-12-01,316.876,2018-12-12,2018-12-12
2013-01-01,320.958,2018-12-12,2018-12-12
2013-02-01,316.620,2018-12-12,2018-12-12
2013-03-01,322.645,2018-12-12,2018-12-12
2013-04-01,310.843,2018-12-12,2018-12-12
2013-05-01,298.615,2018-12-12,2018-12-12
2013-06-01,296.647,2018-12-12,2018-12-12
2013-07-01,311.074,2018-12-12,2018-12-12
2013-08-01,317.280,2018-12-12,2018-12-12
2013-09-01,316.426,2018-12-12,2018-12-12
2013-10-01,315.445,2018-12-12,2018-12-12
2013-11-01,315.808,2018-12-12,2018-12-12
2013-12-01,314.891,2018-12-12,2018-12-12
2014-01-01,305.391,2018-12-12,2018-12-12
2014-02-01,304.249,2018-12-12,2018-12-12
2014-03-01,309.039,2018-12-12,2018-12-12
2014-04-01,309.695,2018-12-12,2018-12-12
2014-05-01,313.022,2018-12-12,2018-12-12
2014-06-01,312.663,2018-12-12,2018-12-12
2014-07-01,310.630,2018-12-12,2018-12-12
2014-08-01,308.949,2018-12-12,2018-12-12
2014-09-01,306.955,2018-12-12,2018-12-12
2014-10-01,307.035,2018-12-12,2018-12-12
2014-11-01,304.338,2018-12-12,2018-12-12
2014-12-01,300.517,2018-12-12,2018-12-12
2015-01-01,296.193,2018-12-12,2018-12-12
2015-02-01,294.079,2018-12-12,2018-12-12
2015-03-01,292.614,2018-12-12,2018-12-12
2015-04-01,285.388,2018-12-12,2018-12-12
2015-05-01,292.668,2018-12-12,2018-12-12
2015-06-01,296.804,2018-12-12,2018-12-12
2015-07-01,293.607,2018-12-12,2018-12-12
2015-08-01,290.828,2018-12-12,2018-12-12
2015-09-01,288.826,2018-12-12,2018-12-12
2015-10-01,291.461,2018-12-12,2018-12-12
2015-11-01,293.740,2018-12-12,2018-12-12
2015-12-01,292.233,2018-12-12,2018-12-12
2016-01-01,290.900,2018-12-12,2018-12-12
2016-02-01,287.737,2018-12-12,2018-12-12
2016-03-01,287.496,2018-12-12,2018-12-12
2016-04-01,285.182,2018-12-12,2018-12-12
2016-05-01,284.004,2018-12-12,2018-12-12
2016-06-01,283.352,2018-12-12,2018-12-12
2016-07-01,280.340,2018-12-12,2018-12-12
2016-08-01,281.216,2018-12-12,2018-12-12
2016-09-01,281.316,2018-12-12,2018-12-12
2016-10-01,276.503,2018-12-12,2018-12-12
2016-11-01,275.347,2018-12-12,2018-12-12
2016-12-01,278.935,2018-12-12,2018-12-12
2017-01-01,281.107,2018-12-12,2018-12-12
2017-02-01,283.743,2018-12-12,2018-12-12
2017-03-01,286.260,2018-12-12,2018-12-12
2017-04-01,282.183,2018-12-12,2018-12-12
2017-05-01,276.063,2018-12-12,2018-12-12
2017-06-01,271.609,2018-12-12,2018-12-12
2017-07-01,273.627,2018-12-12,2018-12-12
2017-08-01,272.499,2018-12-12,2018-12-12
2017-09-01,272.639,2018-12-12,2018-12-12
2017-10-01,273.051,2018-12-12,2018-12-12
2017-11-01,269.383,2018-12-12,2018-12-12
2017-12-01,268.335,2018-12-12,2018-12-12
2018-01-01,266.756,2018-12-12,2018-12-12
2018-02-01,268.323,2018-12-12,2018-12-12
2018-03-01,270.006,2018-12-12,2018-12-12
2018-04-01,262.780,2018-12-12,2018-12-12
2018-05-01,257.877,2018-12-12,2018-12-12
2018-06-01,255.619,2018-12-12,2018-12-12
2018-07-01,262.422,2018-12-12,2018-12-12
2018-08-01,268.841,2018-12-12,2018-12-12
2018-09-01,271.642,2018-12-12,2018-12-12
2018-10-01,271.654,2018-12-12,2018-12-12
2018-11-01,265.202,2018-12-12,2018-12-12
